Sun Jun 26 15:28:08 2016

Number of Points = 20622
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
6.671059	30.582891	19.961216	0.000073	0.575443
6.716641	30.900628	19.966220	0.000065	0.576444
6.743230	31.243123	19.971224	0.000060	0.577498
6.777197	31.587631	19.976229	0.000053	0.578563
6.854935	31.922222	19.981233	0.000039	0.579644
6.835687	32.305222	19.986237	0.000043	0.580763
6.860744	32.622912	19.991242	0.000038	0.581734
6.933608	32.957403	19.996246	0.000025	0.582803
6.755324	33.351764	20.001250	0.000058	0.583782
6.948032	33.622685	20.006255	0.000022	0.584786
6.839833	34.037751	20.011259	0.000042	0.585896
6.856823	34.352968	20.016263	0.000039	0.586843
6.795207	34.696361	20.021268	0.000050	0.587787
6.891897	35.015821	20.026272	0.000032	0.588827
6.891195	35.380118	20.031276	0.000033	0.589893
6.920589	35.715850	20.036281	0.000027	0.590906
7.077885	36.046597	20.041285	-0.000002	0.592036
7.026458	36.416494	20.046290	0.000008	0.593060
7.106855	36.732417	20.051294	-0.000007	0.594063
7.129704	37.085583	20.056298	-0.000011	0.595113
7.169938	37.434534	20.061303	-0.000019	0.596166
7.118484	37.808238	20.066307	-0.000009	0.597194
7.220745	38.101891	20.071311	-0.000028	0.598149
7.246373	38.462924	20.076316	-0.000033	0.599216
7.160041	38.829640	20.081320	-0.000017	0.600183
7.364527	39.132817	20.086324	-0.000054	0.601265
7.356509	39.500179	20.091329	-0.000053	0.602311
7.400198	39.841040	20.096333	-0.000061	0.603332
7.298560	40.216455	20.101337	-0.000042	0.604302
7.311048	40.530738	20.106342	-0.000044	0.605212
7.528276	40.853093	20.111346	-0.000084	0.606353
7.307829	41.255155	20.116350	-0.000044	0.607272
7.402417	41.544531	20.121355	-0.000061	0.608190
7.397911	41.914389	20.126359	-0.000060	0.609235
7.333225	42.259046	20.131363	-0.000049	0.610146
7.463142	42.586663	20.136368	-0.000072	0.611204
7.504125	42.935512	20.141372	-0.000080	0.612230
7.539233	43.268311	20.146376	-0.000086	0.613203
7.400151	43.645818	20.151381	-0.000061	0.614125
7.405612	43.989355	20.156385	-0.000062	0.615096
7.445835	44.318972	20.161390	-0.000069	0.616061
7.390330	44.669571	20.166394	-0.000059	0.616987
7.679241	44.942620	20.171398	-0.000112	0.618040
7.614263	45.353185	20.176403	-0.000100	0.619121
7.693877	45.681743	20.181407	-0.000115	0.620116
7.633382	46.052795	20.186411	-0.000104	0.621088
7.750305	46.363313	20.191416	-0.000125	0.622067
7.599880	46.733767	20.196420	-0.000097	0.622945
7.857381	47.035643	20.201424	-0.000145	0.624037
7.876493	47.390816	20.206429	-0.000148	0.625038
7.879007	47.749101	20.211433	-0.000149	0.626029
7.721466	48.138380	20.216437	-0.000120	0.626947
7.883941	48.421588	20.221442	-0.000150	0.627886
7.909363	48.768321	20.226446	-0.000154	0.628864
7.920872	49.128672	20.231450	-0.000156	0.629864
7.892871	49.485981	20.236455	-0.000151	0.630815
7.984406	49.804729	20.241459	-0.000168	0.631777
7.981060	50.157684	20.246463	-0.000167	0.632737
8.014712	50.494511	20.251468	-0.000174	0.633689
7.797269	50.877652	20.256472	-0.000134	0.634520
8.012043	51.167187	20.261476	-0.000173	0.635517
8.021507	51.537864	20.266481	-0.000175	0.636532
8.004494	51.886629	20.271485	-0.000172	0.637461
8.155626	52.186589	20.276489	-0.000200	0.638419
8.040987	52.590044	20.281494	-0.000178	0.639399
7.873924	52.947682	20.286498	-0.000148	0.640203
8.021448	53.232244	20.291503	-0.000175	0.641112
7.926631	53.614212	20.296507	-0.000157	0.642049
7.981302	53.930749	20.301511	-0.000167	0.642952
8.098543	54.253819	20.306516	-0.000189	0.643932
8.088324	54.642990	20.311520	-0.000187	0.644964
8.120176	54.968313	20.316524	-0.000193	0.645865
8.067731	55.319675	20.321529	-0.000183	0.646754
8.116045	55.656583	20.326533	-0.000192	0.647699
8.148095	55.991119	20.331537	-0.000198	0.648621
8.200225	56.333791	20.336542	-0.000208	0.649582
8.251805	56.681651	20.341546	-0.000217	0.650555
8.427099	57.001708	20.346550	-0.000249	0.651570
8.537511	57.365470	20.351555	-0.000270	0.652638
8.398475	57.719406	20.356559	-0.000244	0.653442
8.407162	58.070678	20.361563	-0.000246	0.654378
8.577237	58.388769	20.366568	-0.000277	0.655377
8.536925	58.748265	20.371572	-0.000270	0.656286
8.497113	59.115336	20.376576	-0.000262	0.657213
8.418195	59.444750	20.381581	-0.000248	0.658004
8.385422	59.785537	20.386585	-0.000242	0.658867
8.520890	60.123396	20.391589	-0.000267	0.659879
8.593734	60.451106	20.396594	-0.000280	0.660804
8.407373	60.840923	20.401598	-0.000246	0.661648
8.452918	61.167335	20.406602	-0.000254	0.662541
8.425733	61.508330	20.411607	-0.000249	0.663404
8.598195	61.809678	20.416611	-0.000281	0.664348
8.506349	62.205610	20.421616	-0.000264	0.665291
8.493026	62.540011	20.426620	-0.000261	0.666146
8.638661	62.854039	20.431624	-0.000288	0.667095
8.624682	63.204196	20.436629	-0.000286	0.667988
8.714439	63.540293	20.441633	-0.000302	0.668939
8.714552	63.910708	20.446637	-0.000302	0.669894
8.725133	64.250091	20.451642	-0.000304	0.670778
8.805152	64.585410	20.456646	-0.000319	0.671714
8.973526	64.921940	20.461650	-0.000350	0.672733
8.852240	65.295324	20.466655	-0.000327	0.673580
8.837806	65.628862	20.471659	-0.000325	0.674421
9.001197	65.950336	20.476663	-0.000355	0.675393
8.914454	66.330844	20.481668	-0.000339	0.676286
8.886698	66.660318	20.486672	-0.000334	0.677101
8.997073	66.973157	20.491676	-0.000354	0.677999
8.846548	67.365506	20.496681	-0.000326	0.678861
9.004156	67.671841	20.501685	-0.000355	0.679783
8.919773	68.042096	20.506689	-0.000340	0.680646
8.990054	68.369296	20.511694	-0.000353	0.681539
8.981374	68.719292	20.516698	-0.000351	0.682418
9.024187	69.056610	20.521702	-0.000359	0.683309
8.950730	69.418659	20.526707	-0.000345	0.684157
8.922487	69.758415	20.531711	-0.000340	0.684989
8.956874	70.092152	20.536715	-0.000346	0.685860
9.120331	70.387745	20.541720	-0.000377	0.686751
9.170359	70.780460	20.546724	-0.000386	0.687783
8.966875	71.155535	20.551729	-0.000348	0.688541
9.079442	71.445943	20.556733	-0.000369	0.689370
8.957038	71.824183	20.561737	-0.000346	0.690207
9.195205	72.133454	20.566742	-0.000390	0.691193
9.182735	72.489434	20.571746	-0.000388	0.692071
9.101473	72.860950	20.576750	-0.000373	0.692925
9.261995	73.151855	20.581755	-0.000403	0.693792
9.163776	73.537377	20.586759	-0.000384	0.694664
9.385676	73.829832	20.591763	-0.000425	0.695587
9.241507	74.244955	20.596768	-0.000399	0.696489
9.331550	74.557637	20.601772	-0.000415	0.697344
9.258836	74.906614	20.606776	-0.000402	0.698143
9.247772	75.245433	20.611781	-0.000400	0.698971
9.230500	75.595851	20.616785	-0.000397	0.699820
9.312979	75.926948	20.621789	-0.000412	0.700710
9.328159	76.280169	20.626794	-0.000415	0.701593

9.181696	76.599458	20.631798	-0.000388	0.702249
9.303451	76.645123	20.636802	-0.000410	0.702469
9.375960	76.705486	20.641807	-0.000423	0.702681
9.436496	76.742958	20.646811	-0.000434	0.702826
9.459699	76.812272	20.651815	-0.000439	0.703016
9.415978	76.837821	20.656820	-0.000431	0.703041
9.399973	76.891256	20.661824	-0.000428	0.703158
9.332040	76.939282	20.666828	-0.000415	0.703216
9.479883	76.920305	20.671833	-0.000442	0.703299
9.426546	77.006140	20.676837	-0.000433	0.703463
9.501552	77.034311	20.681842	-0.000446	0.703598
9.451803	77.086925	20.686846	-0.000437	0.703683
9.662260	77.088265	20.691850	-0.000476	0.703871
9.599878	77.156064	20.696855	-0.000464	0.703983
9.522349	77.226322	20.701859	-0.000450	0.704087
9.579980	77.248972	20.706863	-0.000461	0.704193
9.394763	77.311968	20.711868	-0.000427	0.704185
9.690167	77.271876	20.716872	-0.000481	0.704346
9.802474	77.334593	20.721876	-0.000502	0.704598
9.737201	77.430198	20.726881	-0.000490	0.704775
9.680084	77.448992	20.731885	-0.000479	0.704771
9.630955	77.495229	20.736889	-0.000470	0.704841
9.671709	77.513025	20.741894	-0.000478	0.704920
9.620686	77.580531	20.746898	-0.000468	0.705041
9.729519	77.590050	20.751902	-0.000488	0.705159
9.629795	77.647682	20.756907	-0.000470	0.705213
9.691760	77.685336	20.761911	-0.000481	0.705360
9.519812	77.771547	20.766915	-0.000450	0.705420
9.522611	77.751528	20.771920	-0.000450	0.705374
9.572152	77.805083	20.776924	-0.000459	0.705548
9.631752	77.835828	20.781928	-0.000470	0.705675
9.491201	77.908409	20.786933	-0.000444	0.705730
9.691758	77.895773	20.791937	-0.000481	0.705874
9.609713	77.965778	20.796942	-0.000466	0.705974
9.659105	78.009904	20.801946	-0.000475	0.706125
9.702850	78.042301	20.806950	-0.000483	0.706242
9.524061	78.108319	20.811955	-0.000450	0.706248
9.487157	78.153728	20.816959	-0.000444	0.706326
9.490735	78.169898	20.821963	-0.000444	0.706369
9.417640	78.227186	20.826968	-0.000431	0.706445
9.438367	78.233880	20.831972	-0.000435	0.706480
9.576365	78.270548	20.836976	-0.000460	0.706690
9.628754	78.312995	20.841981	-0.000470	0.706839
9.492613	78.403209	20.846985	-0.000444	0.706940
9.422170	78.411579	20.851989	-0.000432	0.706899
9.470749	78.456427	20.856994	-0.000440	0.707051
9.468210	78.474928	20.861998	-0.000440	0.707094
9.490979	78.543974	20.867002	-0.000444	0.707283
9.426936	78.576297	20.872007	-0.000432	0.707306
9.587014	78.581067	20.877011	-0.000462	0.707457
9.594756	78.657888	20.882015	-0.000463	0.707651
9.768916	78.652733	20.887020	-0.000495	0.707790
9.760892	78.724311	20.892024	-0.000494	0.707958
9.736860	78.770961	20.897028	-0.000489	0.708051
9.674594	78.817797	20.902033	-0.000478	0.708111
9.640896	78.856960	20.907037	-0.000472	0.708177
9.700924	78.889732	20.912041	-0.000483	0.708309
9.768579	78.907655	20.917046	-0.000495	0.708411
9.814138	78.968066	20.922050	-0.000504	0.708598
9.778673	79.011402	20.927055	-0.000497	0.708673
9.588621	79.088653	20.932059	-0.000462	0.708696
9.549240	79.104080	20.937063	-0.000455	0.708699
9.687507	79.106545	20.942068	-0.000480	0.708825
9.696145	79.160639	20.947072	-0.000482	0.708964
9.741813	79.225814	20.952076	-0.000490	0.709163
9.606961	79.265949	20.957081	-0.000465	0.709143
9.777089	79.265659	20.962085	-0.000497	0.709291
9.803990	79.321958	20.967089	-0.000502	0.709451
9.780216	79.373920	20.972094	-0.000497	0.709557
9.488454	79.476091	20.977098	-0.000444	0.709552
9.701342	79.419538	20.982102	-0.000483	0.709599
9.619788	79.509469	20.987107	-0.000468	0.709747
9.604861	79.551262	20.992111	-0.000465	0.709836
9.680278	79.552224	20.997115	-0.000479	0.709903
9.675254	79.612986	21.002120	-0.000478	0.710047
9.673603	79.660260	21.007124	-0.000478	0.710160
9.770954	79.679855	21.012128	-0.000495	0.710292
9.692603	79.754187	21.017133	-0.000481	0.710405
9.770225	79.751398	21.022137	-0.000495	0.710466
9.874061	79.817784	21.027141	-0.000514	0.710717
9.873969	79.851951	21.032146	-0.000514	0.710800
9.822803	79.891221	21.037150	-0.000505	0.710851
9.708679	79.949766	21.042154	-0.000484	0.710894
9.634542	80.009969	21.047159	-0.000470	0.710976
9.582459	80.041344	21.052163	-0.000461	0.711007
9.550064	80.071056	21.057168	-0.000455	0.711051
9.802874	80.031212	21.062172	-0.000501	0.711173
9.540658	80.185350	21.067176	-0.000453	0.711320
9.753904	80.140490	21.072181	-0.000492	0.711396
9.641649	80.228609	21.077185	-0.000472	0.711513
9.754998	80.226545	21.082189	-0.000492	0.711606
9.888033	80.285340	21.087194	-0.000517	0.711864
9.761743	80.348189	21.092198	-0.000494	0.711907
9.833111	80.391039	21.097202	-0.000507	0.712072
9.797046	80.417164	21.102207	-0.000500	0.712105
9.992563	80.424871	21.107211	-0.000536	0.712292
9.832210	80.529487	21.112215	-0.000507	0.712407
9.929740	80.528033	21.117220	-0.000524	0.712488
9.965331	80.570607	21.122224	-0.000531	0.712622
9.863717	80.642379	21.127228	-0.000512	0.712708
9.886175	80.645617	21.132233	-0.000516	0.712735
9.806226	80.717519	21.137237	-0.000502	0.712840
9.889126	80.741323	21.142241	-0.000517	0.712969
9.779282	80.797293	21.147246	-0.000497	0.713010
9.823962	80.804719	21.152250	-0.000505	0.713067
9.836257	80.844922	21.157254	-0.000507	0.713175
9.797201	80.915788	21.162259	-0.000500	0.713312
9.959547	80.932830	21.167263	-0.000530	0.713494
9.852578	80.979497	21.172267	-0.000510	0.713514
9.661909	81.047960	21.177272	-0.000475	0.713515
9.760603	81.058949	21.182276	-0.000493	0.713627
9.756312	81.098917	21.187281	-0.000492	0.713720
9.761283	81.136873	21.192285	-0.000493	0.713816
9.719259	81.195166	21.197289	-0.000486	0.713921
9.727920	81.215227	21.202294	-0.000487	0.713977
9.705347	81.261775	21.207298	-0.000483	0.714070
9.777690	81.309167	21.212302	-0.000496	0.714247
9.655681	81.358663	21.217307	-0.000474	0.714261
9.727596	81.367284	21.222311	-0.000487	0.714344
9.819221	81.419156	21.227315	-0.000504	0.714548
9.756354	81.466492	21.232320	-0.000492	0.714608
9.865174	81.481723	21.237324	-0.000512	0.714739
10.068052	81.513399	21.242328	-0.000550	0.714991
9.875151	81.612682	21.247333	-0.000514	0.715064
10.007695	81.614336	21.252337	-0.000539	0.715182
9.975559	81.653015	21.257341	-0.000533	0.715248
9.928768	81.723542	21.262346	-0.000524	0.715378
10.103896	81.719325	21.267350	-0.000556	0.715518
9.983597	81.790633	21.272354	-0.000534	0.715587
9.926474	81.839869	21.277359	-0.000524	0.715656
9.835808	81.886398	21.282363	-0.000507	0.715690
9.836233	81.920004	21.287367	-0.000507	0.715772
9.887558	81.933917	21.292372	-0.000516	0.715850
9.938232	81.977677	21.297376	-0.000526	0.715999
9.840146	82.047189	21.302380	-0.000508	0.716082
10.003822	82.033459	21.307385	-0.000538	0.716190
10.084315	82.090626	21.312389	-0.000553	0.716397
9.931041	82.173808	21.317394	-0.000524	0.716465
9.979597	82.190167	21.322398	-0.000533	0.716546
9.904758	82.229280	21.327402	-0.000520	0.716576
9.816241	82.277262	21.332407	-0.000503	0.716616
9.801682	82.336154	21.337411	-0.000501	0.716745
9.831069	82.340675	21.342415	-0.000506	0.716781
9.798618	82.391744	21.347420	-0.000500	0.716876
9.965192	82.400688	21.352424	-0.000531	0.717041
9.927333	82.458759	21.357428	-0.000524	0.717148
9.918105	82.515203	21.362433	-0.000522	0.717276
9.930606	82.561531	21.367437	-0.000524	0.717398
10.012969	82.564564	21.372441	-0.000539	0.717476
10.026378	82.633548	21.377446	-0.000542	0.717654
9.967541	82.688085	21.382450	-0.000531	0.717734
9.855694	82.728753	21.387454	-0.000510	0.717736
10.051721	82.713472	21.392459	-0.000546	0.717868
10.015242	82.805341	21.397463	-0.000540	0.718057
9.962604	82.836194	21.402467	-0.000530	0.718086
9.931599	82.860330	21.407472	-0.000524	0.718118
9.940744	82.902007	21.412476	-0.000526	0.718226
9.990444	82.947815	21.417480	-0.000535	0.718378
10.124337	82.963054	21.422485	-0.000560	0.718530
9.908980	83.070208	21.427489	-0.000520	0.718603
10.282061	83.003404	21.432494	-0.000589	0.718762
10.035284	83.156652	21.437498	-0.000543	0.718919
10.125545	83.131879	21.442502	-0.000560	0.718936
10.064983	83.195671	21.447507	-0.000549	0.719038
10.111881	83.236961	21.452511	-0.000557	0.719177
10.221119	83.250540	21.457515	-0.000577	0.719303
10.149400	83.312712	21.462520	-0.000564	0.719391
10.134482	83.359939	21.467524	-0.000562	0.719491
10.134811	83.407323	21.472528	-0.000562	0.719605
10.050568	83.443956	21.477533	-0.000546	0.719621
10.038790	83.472509	21.482537	-0.000544	0.719679
10.063267	83.511445	21.487541	-0.000548	0.719794
10.220368	83.528547	21.492546	-0.000577	0.719969
10.040323	83.615435	21.497550	-0.000544	0.720023
9.985006	83.654437	21.502554	-0.000534	0.720070
10.058411	83.669386	21.507559	-0.000547	0.720168
9.966021	83.725308	21.512563	-0.000530	0.720223
10.104636	83.726196	21.517567	-0.000556	0.720344
10.151733	83.795497	21.522572	-0.000565	0.720550
9.979507	83.870589	21.527576	-0.000533	0.720583
10.052559	83.858624	21.532580	-0.000546	0.720617
10.158627	83.893185	21.537585	-0.000566	0.720790
10.368047	83.916086	21.542589	-0.000604	0.721024
10.180923	84.036499	21.547593	-0.000570	0.721152
10.234343	84.023341	21.552598	-0.000580	0.721167
10.448434	84.040844	21.557602	-0.000619	0.721391
10.482179	84.093773	21.562607	-0.000625	0.721547
10.409949	84.161850	21.567611	-0.000612	0.721648
10.316007	84.227016	21.572615	-0.000595	0.721724
10.434357	84.227352	21.577620	-0.000617	0.721826
10.371546	84.278017	21.582624	-0.000605	0.721893
10.428929	84.314458	21.587628	-0.000616	0.722029
10.382486	84.374106	21.592633	-0.000607	0.722132
10.479432	84.374306	21.597637	-0.000625	0.722215
10.386760	84.455434	21.602641	-0.000608	0.722330
10.459594	84.462390	21.607646	-0.000621	0.722409
10.504148	84.507959	21.612650	-0.000629	0.722556
10.360845	84.598432	21.617654	-0.000603	0.722650
10.334568	84.599729	21.622659	-0.000598	0.722630
10.250935	84.655377	21.627663	-0.000583	0.722692

10.357457	84.654015	21.632667	-0.000602	0.722779
10.358913	84.631099	21.637672	-0.000603	0.722726
10.468322	84.318383	21.642676	-0.000623	0.722072
10.399693	83.995957	21.647680	-0.000610	0.721242
10.376666	83.605812	21.652685	-0.000606	0.720287
10.525016	83.194738	21.657689	-0.000633	0.719428
10.188733	82.910339	21.662693	-0.000571	0.718457
10.260280	82.462539	21.667698	-0.000584	0.717441
10.443611	82.038345	21.672702	-0.000618	0.716577
10.256637	81.721909	21.677706	-0.000584	0.715653
10.196791	81.327911	21.682711	-0.000573	0.714650
10.046707	80.955143	21.687715	-0.000545	0.713619
10.197209	80.530791	21.692720	-0.000573	0.712722
10.106288	80.174884	21.697724	-0.000556	0.711780
10.027360	79.800139	21.702728	-0.000541	0.710802
10.011458	79.400231	21.707733	-0.000539	0.709816
10.032808	78.997097	21.712737	-0.000542	0.708853
9.981272	78.654356	21.717741	-0.000533	0.707973
10.022974	78.254183	21.722746	-0.000541	0.707033
10.052442	77.855254	21.727750	-0.000546	0.706083
10.031059	77.488876	21.732754	-0.000542	0.705168
9.950921	77.114114	21.737759	-0.000527	0.704180
9.886817	76.727516	21.742763	-0.000516	0.703175
9.769748	76.365758	21.747767	-0.000494	0.702183
9.918016	75.929686	21.752772	-0.000521	0.701240
9.854605	75.567406	21.757776	-0.000510	0.700292
9.829542	75.198556	21.762780	-0.000505	0.699359
9.633880	74.851701	21.767785	-0.000469	0.698330
9.672028	74.430406	21.772789	-0.000476	0.697321
9.546895	74.060234	21.777793	-0.000453	0.696293
9.589655	73.646840	21.782798	-0.000461	0.695305
9.755390	73.235706	21.787802	-0.000491	0.694430
9.672775	72.914537	21.792806	-0.000476	0.693557
9.637233	72.532470	21.797811	-0.000470	0.692574
9.658982	72.125397	21.802815	-0.000474	0.691578
9.700744	71.735158	21.807819	-0.000481	0.690640
9.597040	71.374499	21.812824	-0.000462	0.689645
9.429953	71.018361	21.817828	-0.000431	0.688603
9.518315	70.588126	21.822833	-0.000448	0.687602
9.413591	70.235655	21.827837	-0.000428	0.686622
9.460698	69.828780	21.832841	-0.000437	0.685641
9.478381	69.438750	21.837846	-0.000440	0.684674
9.454630	69.069602	21.842850	-0.000436	0.683720
9.491452	68.691521	21.847854	-0.000443	0.682798
9.470049	68.302122	21.852859	-0.000439	0.681793
9.652150	67.886281	21.857863	-0.000472	0.680904
9.515004	67.558349	21.862867	-0.000447	0.679948
9.589602	67.142261	21.867872	-0.000461	0.678958
9.385734	66.804067	21.872876	-0.000423	0.677912
9.417436	66.387208	21.877880	-0.000429	0.676878
9.483353	65.993014	21.882885	-0.000441	0.675932
9.431863	65.629610	21.887889	-0.000432	0.674955
9.355332	65.263191	21.892893	-0.000418	0.673947
9.286826	64.855289	21.897898	-0.000405	0.672838
9.256669	64.481455	21.902902	-0.000399	0.671851
9.269114	64.099489	21.907906	-0.000402	0.670880
9.222209	63.702669	21.912911	-0.000393	0.669814
9.154021	63.349213	21.917915	-0.000381	0.668839
9.155978	62.947924	21.922919	-0.000381	0.667804
9.264791	62.543133	21.927924	-0.000401	0.666858
9.101749	62.211618	21.932928	-0.000371	0.665847
9.169523	61.792447	21.937932	-0.000383	0.664822
9.134860	61.413382	21.942937	-0.000377	0.663805
8.920365	61.067564	21.947941	-0.000338	0.662705
8.925955	60.658113	21.952946	-0.000339	0.661642
9.169438	60.220644	21.957950	-0.000383	0.660727
8.992858	59.909838	21.962954	-0.000351	0.659749
9.061282	59.487562	21.967959	-0.000363	0.658707
8.931082	59.146660	21.972963	-0.000339	0.657690
8.959290	58.737977	21.977967	-0.000345	0.656643
9.051992	58.339280	21.982972	-0.000362	0.655681
8.999295	57.976599	21.987976	-0.000352	0.654675
8.928338	57.599660	21.992980	-0.000339	0.653613
8.822453	57.234852	21.997985	-0.000319	0.652548
8.951552	56.804991	22.002989	-0.000343	0.651532
8.847315	56.460034	22.007993	-0.000324	0.650518
8.797791	56.065733	22.012998	-0.000315	0.649424
8.710902	55.704528	22.018002	-0.000299	0.648380
8.940412	55.247075	22.023006	-0.000341	0.647379
8.798767	54.935167	22.028011	-0.000315	0.646411
8.674118	54.547818	22.033015	-0.000292	0.645256
8.744757	54.125919	22.038019	-0.000305	0.644194
8.650484	53.791904	22.043024	-0.000288	0.643208
8.701354	53.371880	22.048028	-0.000297	0.642128
8.717369	52.997498	22.053032	-0.000300	0.641136
8.578599	52.639350	22.058037	-0.000274	0.640036
8.684494	52.211986	22.063041	-0.000294	0.638985
8.581199	51.882119	22.068046	-0.000275	0.637993
8.527739	51.485445	22.073050	-0.000265	0.636866
8.510673	51.095290	22.078054	-0.000262	0.635791
8.469677	50.702607	22.083059	-0.000254	0.634683
8.326351	50.333283	22.088063	-0.000228	0.633538
8.431504	49.938085	22.093067	-0.000247	0.632562
8.376592	49.565213	22.098072	-0.000237	0.631490
8.409136	49.160781	22.103076	-0.000243	0.630415
8.368694	48.799100	22.108080	-0.000236	0.629384
8.270820	48.435332	22.113085	-0.000218	0.628289
8.318468	48.029840	22.118089	-0.000227	0.627220
8.398590	47.626686	22.123093	-0.000241	0.626188
8.361427	47.247722	22.128098	-0.000234	0.625105
8.267913	46.892261	22.133102	-0.000217	0.624030
8.282065	46.501308	22.138106	-0.000220	0.622961
8.318366	46.120657	22.143111	-0.000226	0.621941
8.249292	45.729643	22.148115	-0.000214	0.620786
8.236437	45.347258	22.153119	-0.000211	0.619708
8.172795	44.987236	22.158124	-0.000200	0.618641
8.292948	44.565382	22.163128	-0.000222	0.617582
7.999183	44.252496	22.168132	-0.000168	0.616412
8.170319	43.797385	22.173137	-0.000199	0.615308
8.075645	43.452018	22.178141	-0.000182	0.614243
8.008309	43.075848	22.183145	-0.000169	0.613116
8.037259	42.671664	22.188150	-0.000175	0.612006
8.018342	42.284022	22.193154	-0.000171	0.610892
8.111044	41.884582	22.198159	-0.000188	0.609856
7.946806	41.551466	22.203163	-0.000158	0.608745
8.110809	41.123440	22.208167	-0.000188	0.607697
7.931212	40.786359	22.213172	-0.000155	0.606555
7.917893	40.387246	22.218176	-0.000153	0.605404
7.935772	39.991657	22.223180	-0.000156	0.604293
7.889942	39.611461	22.228185	-0.000148	0.603158
7.940898	39.224151	22.233189	-0.000157	0.602101
7.950885	38.852080	22.238193	-0.000159	0.601043
7.868655	38.478314	22.243198	-0.000144	0.599883
7.878069	38.069986	22.248202	-0.000145	0.598716
7.839321	37.715770	22.253206	-0.000138	0.597654
7.753695	37.329714	22.258211	-0.000122	0.596448
7.776554	36.939220	22.263215	-0.000127	0.595340
7.799506	36.548813	22.268219	-0.000131	0.594231
7.770703	36.171023	22.273224	-0.000126	0.593102
7.781104	35.792998	22.278228	-0.000127	0.592011
7.686377	35.420034	22.283232	-0.000110	0.590823
7.747446	35.005787	22.288237	-0.000121	0.589675
7.678920	34.654985	22.293241	-0.000109	0.588575
7.554848	34.298274	22.298245	-0.000086	0.587397
7.593567	33.862942	22.303250	-0.000093	0.586156
7.660339	33.477372	22.308254	-0.000105	0.585090
7.539988	33.139340	22.313258	-0.000083	0.583964
7.440313	32.756745	22.318263	-0.000065	0.582725
7.491558	32.333210	22.323267	-0.000074	0.581523
7.360865	31.993411	22.328272	-0.000050	0.580374
7.383581	31.565533	22.333276	-0.000054	0.579124
7.273558	31.232610	22.338280	-0.000034	0.578012
7.306454	30.822776	22.343285	-0.000040	0.576822
7.247925	30.446267	22.348289	-0.000029	0.575631
7.270784	30.041580	22.353293	-0.000034	0.574440
7.216154	29.679115	22.358298	-0.000023	0.573290
7.304293	29.287325	22.363302	-0.000040	0.572204
7.236098	28.906821	22.368306	-0.000027	0.570981
7.291147	28.523229	22.373311	-0.000037	0.569879
7.118290	28.173355	22.378315	-0.000005	0.568630
7.220724	27.744396	22.383319	-0.000024	0.567437
7.079583	27.388750	22.388324	0.000002	0.566200
7.087033	26.998529	22.393328	0.000000	0.565016
7.027460	26.622314	22.398332	0.000011	0.563800
7.073767	26.233884	22.403337	0.000003	0.562660
7.138660	25.830064	22.408341	-0.000009	0.561491
7.131038	25.460705	22.413345	-0.000008	0.560345
7.052090	25.088461	22.418350	0.000007	0.559109
7.035597	24.717242	22.423354	0.000010	0.557943
7.057452	24.314631	22.428358	0.000006	0.556720
6.890710	23.965138	22.433363	0.000037	0.555449
6.824693	23.564090	22.438367	0.000049	0.554127
7.025850	23.144369	22.443371	0.000012	0.553043
6.969980	22.792490	22.448376	0.000022	0.551880
6.813642	22.440012	22.453380	0.000051	0.550600
6.866230	22.020608	22.458385	0.000041	0.549342
6.753164	21.664778	22.463389	0.000062	0.548095
6.709124	21.276559	22.468393	0.000070	0.546820
6.784468	20.855729	22.473398	0.000056	0.545575
6.845319	20.480903	22.478402	0.000045	0.544457
6.810666	20.110245	22.483406	0.000051	0.543240
6.851795	19.724622	22.488411	0.000044	0.542060
6.781322	19.364699	22.493415	0.000057	0.540831
6.828884	18.952173	22.498419	0.000048	0.539567
6.615214	18.626990	22.503424	0.000087	0.538280
6.648189	18.220545	22.508428	0.000081	0.537012
6.632184	17.812876	22.513432	0.000084	0.535681
6.523968	17.451772	22.518437	0.000104	0.534390
6.514678	17.066258	22.523441	0.000106	0.533132
6.563645	16.677026	22.528445	0.000097	0.531927
6.516850	16.301292	22.533450	0.000105	0.530651
6.450313	15.909371	22.538454	0.000118	0.529296
6.456819	15.538932	22.543458	0.000116	0.528094
6.365510	15.171441	22.548463	0.000133	0.526783
6.346345	14.778257	22.553467	0.000137	0.525470
6.417355	14.356042	22.558471	0.000124	0.524164
6.263528	14.024223	22.563476	0.000152	0.522888
6.269560	13.637740	22.568480	0.000151	0.521617
6.359201	13.208024	22.573484	0.000134	0.520299
6.238070	12.866597	22.578489	0.000157	0.519020
6.102556	12.515170	22.583493	0.000182	0.517687
6.236943	12.067425	22.588498	0.000157	0.516353
6.064044	11.739191	22.593502	0.000189	0.515046
6.073839	11.328385	22.598506	0.000187	0.513678
6.038652	10.949323	22.603511	0.000193	0.512360
6.116689	10.535706	22.608515	0.000179	0.511058
6.020157	10.189391	22.613519	0.000197	0.509769
6.169943	9.764259	22.618524	0.000169	0.508510
5.979683	9.455973	22.623528	0.000204	0.507229
5.848860	9.065283	22.628532	0.000228	0.505737

6.004183	8.655947	22.633537	0.000200	0.504528
6.008597	8.575490	22.638541	0.000199	0.504258
6.101381	8.727929	22.643545	0.000182	0.504894
6.024224	9.035474	22.648550	0.000196	0.505850
