Sun Jun 26 15:28:08 2016

Number of Points = 20622
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
-10.902724	0.001802	0.590513	0.003274	0.451572
-10.476806	-0.150985	0.595517	0.003196	0.451573
-10.635869	-0.093039	0.600522	0.003225	0.451576
-10.815894	-0.055427	0.605526	0.003258	0.451472
-10.843106	-0.101488	0.610530	0.003263	0.451258
-10.616594	-0.182066	0.615535	0.003221	0.451261
-11.090643	-0.090012	0.620539	0.003309	0.450961
-10.986733	-0.131371	0.625543	0.003289	0.450946
-11.013684	-0.168664	0.630548	0.003294	0.450766
-11.338318	-0.090460	0.635552	0.003354	0.450619
-11.464008	-0.045715	0.640556	0.003377	0.450617
-11.301361	-0.174327	0.645561	0.003347	0.450348
-11.607387	-0.074029	0.650565	0.003404	0.450311
-11.631460	-0.133162	0.655569	0.003408	0.450050
-11.790877	-0.089453	0.660574	0.003437	0.449998
-12.034144	-0.001398	0.665578	0.003482	0.450001
-12.019448	-0.058186	0.670582	0.003479	0.449803
-12.418541	0.055133	0.675587	0.003553	0.449687
-12.252220	-0.005511	0.680591	0.003522	0.449684
-12.036013	-0.102482	0.685595	0.003483	0.449610
-12.573263	0.025586	0.690600	0.003581	0.449360
-12.433949	-0.024340	0.695604	0.003556	0.449360
-12.467249	-0.051625	0.700609	0.003562	0.449209
-12.917958	0.065227	0.705613	0.003645	0.449036
-12.575259	-0.077588	0.710617	0.003582	0.448960
-13.094190	0.047714	0.715622	0.003677	0.448725
-12.924741	-0.012552	0.720626	0.003646	0.448727
-12.998354	-0.008730	0.725630	0.003660	0.448640
-13.284026	0.034624	0.730635	0.003712	0.448411
-13.350735	0.059721	0.735639	0.003724	0.448416
-13.509695	0.080300	0.740643	0.003754	0.448275
-13.594943	0.063697	0.745648	0.003769	0.448093
-13.474233	0.019999	0.750652	0.003747	0.448091
-13.663379	0.038743	0.755656	0.003782	0.447902
-13.667013	0.007653	0.760661	0.003783	0.447777
-13.685173	-0.045141	0.765665	0.003786	0.447548
-13.993700	0.046499	0.770669	0.003843	0.447473
-14.059673	0.044639	0.775674	0.003855	0.447375
-14.163148	0.038429	0.780678	0.003874	0.447207
